0
winside INFO 2018-01-24 06:37:20,257 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817457144>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7829961741', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240637202223897850512063', 'productID': 'productIDa3000000000000000216876'}'
winside INFO 2018-01-24 06:37:35,381 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817395992>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv77810586211', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240637353449408739816502', 'productID': 'productIDa3000000000000000216874'}'
winside INFO 2018-01-24 06:38:56,527 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817277136>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7711155280', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240638564898767654673706', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 06:39:23,314 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817407776>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7738337329', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240639232699911606330500', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 06:39:30,607 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134822147712>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7778832676', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240639305711592488971125', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 06:39:48,590 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817034824>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv77510881798', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240639485522236880091943', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 06:40:02,757 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134902183048>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7770228006', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240640027078677533051894', 'productID': 'productIDa3000000000000000216876'}'
winside INFO 2018-01-24 06:45:50,524 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817518944>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7759624747', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240645504783648437090184', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 06:45:53,165 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817759600>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7759624747', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240645531271379551564086', 'productID': 'productIDa3000000000000000216876'}'
winside INFO 2018-01-24 06:45:56,091 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817763272>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7759624747', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240645560562111313563598', 'productID': 'productIDa3000000000000000216875'}'
